File Version,Model,Hardware Type,Data Logger Name,Serial Number,Sample Rate,Total Alarms
2,EL-SIE-2,2,Jean-Paul,244de2045df784e4,900,0,

Channel Number,Channel Name,Channel Type
1,Temperature,1
2,Humidity,2
3,Dew Point,4

Channel Number,Channel Name,Alarm Type,High Threshold,Low Threshold,Delay,Hold

Reading,Date / Time (UTC),Temperature (°C),Humidity (%RH),Dew Point (°C),
1,2021/05/04 12:45:02,23.09,38.0,8.00,
2,2021/05/04 13:00:02,22.39,24.5,1.11,
3,2021/05/04 13:15:02,22.09,24.7,0.97,
4,2021/05/04 13:30:02,22.02,25.0,1.08,
5,2021/05/04 13:45:02,22.01,25.0,1.07,
6,2021/05/04 14:00:02,21.98,24.8,0.93,
7,2021/05/04 14:15:02,22.01,24.8,0.96,
8,2021/05/04 14:30:02,21.98,24.9,0.99,
9,2021/05/04 14:45:02,21.95,24.9,0.96,
10,2021/05/04 15:00:02,21.95,25.1,1.07,
11,2021/05/04 15:15:02,22.22,25.7,1.63,
12,2021/05/04 15:30:02,20.44,27.9,1.26,
13,2021/05/04 15:45:02,20.16,29.2,1.65,
14,2021/05/04 16:00:02,20.04,29.0,1.45,
15,2021/05/04 16:15:02,20.23,28.5,1.37,
16,2021/05/04 16:30:02,20.24,28.5,1.38,
17,2021/05/04 16:45:02,20.36,28.5,1.49,
18,2021/05/04 17:00:02,20.43,28.8,1.69,
19,2021/05/04 17:15:02,20.23,29.1,1.67,
20,2021/05/04 17:30:02,20.22,29.2,1.70,
21,2021/05/04 17:45:02,20.24,29.6,1.91,
22,2021/05/04 18:00:02,20.18,29.8,1.95,
23,2021/05/04 18:15:02,19.82,30.6,2.01,
24,2021/05/04 18:30:02,20.23,30.3,2.23,
25,2021/05/04 18:45:02,19.92,31.2,2.37,
26,2021/05/04 19:00:02,20.18,31.2,2.60,
27,2021/05/04 19:15:02,20.20,31.6,2.80,
28,2021/05/04 19:30:02,20.24,32.0,3.01,
29,2021/05/04 19:45:02,19.93,33.1,3.21,
30,2021/05/04 20:00:02,20.16,33.1,3.42,
31,2021/05/04 20:15:02,20.27,33.3,3.60,
32,2021/05/04 20:30:02,20.29,33.7,3.79,
33,2021/05/04 20:45:02,20.29,34.1,3.95,
34,2021/05/04 21:00:02,20.75,33.6,4.15,
35,2021/05/04 21:15:02,20.08,34.9,4.10,
36,2021/05/04 21:30:02,20.11,35.0,4.17,
37,2021/05/04 21:45:02,20.08,35.1,4.18,
38,2021/05/04 22:00:02,20.19,34.9,4.20,
39,2021/05/04 22:15:02,20.01,35.0,4.08,
40,2021/05/04 22:30:02,20.09,34.7,4.03,
41,2021/05/04 22:45:02,19.98,34.9,4.01,
42,2021/05/04 23:00:02,20.15,34.5,4.00,
43,2021/05/04 23:15:02,20.27,34.3,4.02,
44,2021/05/04 23:30:02,20.29,34.1,3.95,
45,2021/05/04 23:45:02,20.26,34.1,3.93,
46,2021/05/05 00:00:02,20.33,34.0,3.95,
47,2021/05/05 00:15:02,20.30,34.1,3.96,
48,2021/05/05 00:30:02,20.33,33.9,3.91,
49,2021/05/05 00:45:02,20.26,34.0,3.89,
50,2021/05/05 01:00:02,20.36,33.8,3.89,
