File Version,Model,Hardware Type,Data Logger Name,Serial Number,Sample Rate,Total Alarms
2,EL-SIE-2,2,Jean-Paul,244de2045df784e4,600,0,

Channel Number,Channel Name,Channel Type
1,Temperature,1
2,Humidity,2
3,Dew Point,4

Channel Number,Channel Name,Alarm Type,High Threshold,Low Threshold,Delay,Hold

Reading,Date / Time (UTC),Temperature (°C),Humidity (%RH),Dew Point (°C),
1,2021/02/03 17:00:00,22.47,18.4,-2.74,
2,2021/02/03 17:10:00,22.43,18.4,-2.78,
3,2021/02/03 17:20:00,22.46,18.4,-2.75,
4,2021/02/03 17:30:00,22.41,18.4,-2.79,
5,2021/02/03 17:40:00,22.43,18.6,-2.63,
6,2021/02/03 17:50:00,22.43,18.5,-2.70,
7,2021/02/03 18:00:00,22.44,18.5,-2.69,
8,2021/02/03 18:10:00,22.47,18.5,-2.67,
9,2021/02/03 18:20:00,22.51,18.5,-2.64,
10,2021/02/03 18:30:00,22.51,18.5,-2.64,
11,2021/02/03 18:40:00,22.54,18.5,-2.61,
12,2021/02/03 18:50:00,22.53,18.5,-2.62,
13,2021/02/03 19:00:00,22.50,18.5,-2.65,
14,2021/02/03 19:10:00,22.51,18.6,-2.56,
15,2021/02/03 19:20:00,22.50,18.6,-2.57,
16,2021/02/03 19:30:00,22.47,18.6,-2.60,
17,2021/02/03 19:40:00,22.46,18.7,-2.53,
18,2021/02/03 19:50:00,22.47,18.6,-2.60,
19,2021/02/03 20:00:00,22.47,18.7,-2.52,
20,2021/02/03 20:10:00,22.49,18.7,-2.51,
21,2021/02/03 20:20:00,22.49,18.7,-2.51,
22,2021/02/03 20:30:00,22.51,18.6,-2.56,
23,2021/02/03 20:40:00,22.51,18.7,-2.49,
24,2021/02/03 20:50:00,22.51,18.7,-2.49,
25,2021/02/03 21:00:00,22.49,18.9,-2.37,
26,2021/02/03 21:10:00,22.44,18.9,-2.41,
27,2021/02/03 21:20:00,22.47,19.1,-2.24,
28,2021/02/03 21:30:00,22.53,19.1,-2.19,
29,2021/02/03 21:40:00,22.57,19.1,-2.16,
30,2021/02/03 21:50:00,22.53,19.2,-2.12,
31,2021/02/03 22:00:00,22.53,19.2,-2.12,
32,2021/02/03 22:10:00,22.51,19.2,-2.13,
33,2021/02/03 22:20:00,22.54,19.2,-2.11,
34,2021/02/03 22:30:00,22.51,19.3,-2.06,
35,2021/02/03 22:40:00,22.49,19.4,-2.01,
36,2021/02/03 22:50:00,22.50,19.5,-1.93,
37,2021/02/03 23:00:00,22.53,19.5,-1.91,
38,2021/02/03 23:10:00,22.56,19.6,-1.81,
39,2021/02/03 23:20:00,22.56,19.6,-1.81,
40,2021/02/03 23:30:00,22.59,19.6,-1.79,
41,2021/02/03 23:40:00,22.59,19.6,-1.79,
42,2021/02/03 23:50:00,22.60,19.6,-1.78,
43,2021/02/04 00:00:00,22.64,19.6,-1.75,
44,2021/02/04 00:10:00,22.74,19.6,-1.67,
45,2021/02/04 00:20:00,22.78,19.6,-1.63,
46,2021/02/04 00:30:00,22.66,19.7,-1.66,
47,2021/02/04 00:40:00,22.49,19.8,-1.73,
48,2021/02/04 00:50:00,22.35,19.9,-1.78,
49,2021/02/04 01:00:00,22.29,20.0,-1.76,
50,2021/02/04 01:10:00,22.30,19.9,-1.82,
51,2021/02/04 01:20:00,22.35,19.9,-1.78,
52,2021/02/04 01:30:00,22.39,19.9,-1.75,
53,2021/02/04 01:40:00,22.39,19.8,-1.82,
54,2021/02/04 01:50:00,22.35,19.9,-1.78,
55,2021/02/04 02:00:00,22.33,19.8,-1.87,
56,2021/02/04 02:10:00,22.32,19.8,-1.88,
57,2021/02/04 02:20:00,22.30,19.8,-1.89,
58,2021/02/04 02:30:00,22.30,19.8,-1.89,
59,2021/02/04 02:40:00,22.32,19.8,-1.88,
60,2021/02/04 02:50:00,22.32,19.7,-1.94,
61,2021/02/04 03:00:00,22.35,19.7,-1.92,
62,2021/02/04 03:10:00,22.38,19.7,-1.89,
63,2021/02/04 03:20:00,22.38,19.6,-1.96,
64,2021/02/04 03:30:00,22.36,19.6,-1.98,
65,2021/02/04 03:40:00,22.36,19.6,-1.98,
66,2021/02/04 03:50:00,22.38,19.6,-1.96,
67,2021/02/04 04:00:00,22.35,19.6,-1.99,
68,2021/02/04 04:10:00,22.35,19.6,-1.99,
69,2021/02/04 04:20:00,22.36,19.5,-2.05,
70,2021/02/04 04:30:00,22.38,19.6,-1.96,
71,2021/02/04 04:40:00,22.39,19.6,-1.96,
72,2021/02/04 04:50:00,22.36,19.7,-1.91,
73,2021/02/04 05:00:00,22.30,19.6,-2.03,
74,2021/02/04 05:10:00,22.32,19.7,-1.94,
75,2021/02/04 05:20:00,22.30,19.8,-1.89,
